차량기지명,IC명,거리(km)
고덕차량사업소,신둔(이천) 하이패스IC,35.18097580533786
방화차량사업소,덕소삼패IC,35.187599203302845
군자차량사업소,도화IC,35.1966831281853
수서차량사업소,정남IC,35.505169601382555
도봉차량사업소,송내IC,35.50851351155041
신내차량사업소,군포IC,35.55017462169171
신내차량사업소,군포IC,35.622409522975076
수서차량사업소,덕평IC,35.6649506749324
군자차량사업소,용인IC,35.747106340407
지축차량사업소,동군포IC,36.097623146597584
도봉차량사업소,광명역IC,36.11929702467755
도봉차량사업소,평촌IC,36.18776632196072
창동차량사업소,북수원IC,36.19317369207568
지축차량사업소,동군포IC,36.200362909138526
지축차량사업소,군포IC,36.23060639305547
창동차량사업소,북수원IC,36.235619877554726
창동차량사업소,부곡IC,36.3153139279172
창동차량사업소,부곡IC,36.35387212231894
지축차량사업소,군포IC,36.37102103409215
창동차량사업소,동군포IC,36.385457481633395
창동차량사업소,동군포IC,36.475167241677376
천왕차량사업소,마성IC,36.48912259379879
천왕차량사업소,마성IC,36.593992240077085
천왕차량사업소,기흥IC,36.59733228734763
도봉차량사업소,장수IC,36.74668223229086
창동차량사업소,설악IC,36.84240720156456
천왕차량사업소,기흥동탄IC,36.96269923625292
신내차량사업소,마성IC,36.997954391645806
신내차량사업소,마성IC,37.01703050925163
군자차량사업소,기흥IC,37.02008365660114
지축차량사업소,부곡IC,37.06067669861404
지축차량사업소,부곡IC,37.0691322264591
군자차량사업소,봉담IC,37.107074645144024
창동차량사업소,군포IC,37.15279277051255
도봉차량사업소,목감IC,37.22518172467108
고덕차량사업소,계양IC,37.22906978409421
창동차량사업소,군포IC,37.23773541786138
군자차량사업소,남양평IC,37.32733844913553
창동차량사업소,서인천IC,37.43196658722159
창동차량사업소,동수원IC,37.456149998729366
수서차량사업소,서인천IC,37.465385883905704
도봉차량사업소,산본IC,37.477335582571584
신정차량사업소,마성IC,37.49066281415156
신내차량사업소,안산IC,37.518841550615754
지축차량사업소,화도IC,37.55679071035017
창동차량사업소,동수원IC,37.56750889955212
신정차량사업소,마성IC,37.58159147660889
신정차량사업소,정남IC,37.60885162442237
신내차량사업소,안산IC,37.614696402132104
군자차량사업소,기흥동탄IC,37.665703315078446
고덕차량사업소,양지IC,37.728185098322164
군자차량사업소,비봉IC,37.78527746510759
수서차량사업소,가좌IC,37.797012551829816
고덕차량사업소,중동IC,37.835877639212164
고덕차량사업소,안산IC,37.853238145223315
고덕차량사업소,북여주IC,37.923455460851045
방화차량사업소,동수원IC,37.928040983022555
방화차량사업소,동수원IC,37.99166079451687
고덕차량사업소,안산IC,37.9953129690204
도봉차량사업소,서인천IC,38.023335633076776
수서차량사업소,도화IC,38.143993672252655
천왕차량사업소,북오산IC,38.16000570289533
지축차량사업소,북수원IC,38.17873442646155
지축차량사업소,북수원IC,38.182874565222484
창동차량사업소,남양평IC,38.23396769664098
수서차량사업소,오산IC,38.256377269882776
고덕차량사업소,장수IC,38.32246805548288
고덕차량사업소,기흥IC,38.3490372881408
고덕차량사업소,송내IC,38.36239434882716
신내차량사업소,수원신갈IC,38.41615002939753
신정차량사업소,기흥IC,38.45273413182998
창동차량사업소,안산IC,38.475005703425715
창동차량사업소,안산IC,38.54986016446819
방화차량사업소,비봉IC,38.65855770145003
신내차량사업소,서인천IC,38.69696173529016
신정차량사업소,기흥동탄IC,38.87100460909393
고덕차량사업소,기흥동탄IC,39.06646864813228
신내차량사업소,서안산IC,39.18745074921072
신내차량사업소,서안산IC,39.43585673936299
창동차량사업소,가좌IC,39.462290026503545
수서차량사업소,북여주IC,39.57242999439824
