차량기지명,IC명,거리(km)
도봉차량사업소,장수IC,36.74668223229086
창동차량사업소,설악IC,36.84240720156456
천왕차량사업소,기흥동탄IC,36.96269923625292
신내차량사업소,마성IC,37.00749245044872
군자차량사업소,기흥IC,37.02008365660114
지축차량사업소,부곡IC,37.06490446253657
군자차량사업소,봉담IC,37.107074645144024
창동차량사업소,군포IC,37.19526409418697
도봉차량사업소,목감IC,37.22518172467108
고덕차량사업소,계양IC,37.22906978409421
군자차량사업소,남양평IC,37.32733844913553
창동차량사업소,서인천IC,37.43196658722159
수서차량사업소,서인천IC,37.465385883905704
도봉차량사업소,산본IC,37.477335582571584
창동차량사업소,동수원IC,37.51182944914074
신정차량사업소,마성IC,37.53612714538023
지축차량사업소,화도IC,37.55679071035017
신내차량사업소,안산IC,37.56676897637393
신정차량사업소,정남IC,37.60885162442237
군자차량사업소,기흥동탄IC,37.665703315078446
고덕차량사업소,양지IC,37.728185098322164
군자차량사업소,비봉IC,37.78527746510759
수서차량사업소,가좌IC,37.797012551829816
고덕차량사업소,중동IC,37.835877639212164
고덕차량사업소,북여주IC,37.923455460851045
고덕차량사업소,안산IC,37.92427555712186
방화차량사업소,동수원IC,37.95985088876971
도봉차량사업소,서인천IC,38.023335633076776
수서차량사업소,도화IC,38.143993672252655
천왕차량사업소,북오산IC,38.16000570289533
지축차량사업소,북수원IC,38.18080449584202
창동차량사업소,남양평IC,38.23396769664098
수서차량사업소,오산IC,38.256377269882776
고덕차량사업소,장수IC,38.32246805548288
고덕차량사업소,기흥IC,38.3490372881408
고덕차량사업소,송내IC,38.36239434882716
신내차량사업소,수원신갈IC,38.41615002939753
신정차량사업소,기흥IC,38.45273413182998
창동차량사업소,안산IC,38.512432933946954
방화차량사업소,비봉IC,38.65855770145003
신내차량사업소,서인천IC,38.69696173529016
신정차량사업소,기흥동탄IC,38.87100460909393
고덕차량사업소,기흥동탄IC,39.06646864813228
신내차량사업소,서안산IC,39.31165374428686
창동차량사업소,가좌IC,39.462290026503545
수서차량사업소,북여주IC,39.57242999439824
고덕차량사업소,덕평IC,39.59217689319549
